"Station Field Number","PalmC","PalmD","Babassu","Tucum","TreeC","TreeD","Height","VC Height","DBH","VC DBH","BA","ShrubC","ShrubD","ShrubDBH","VC ShrubDBH","VC TSDBH","TSC","TotalD","NecroC","LitterC","FineNC","HerbC","AGC","SOC","Total C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","0.0000","0.0000","0.0000","0.0000","50.8324","427.9165","7.1905","30.5668","25.4417","55.4736","28.3616","10.2804","7833.3333","3.1279","56.7258","107.0940","61.1128","8261.2498","0.0000","0.8874","1.9260","0.2860","64.2123","58.2619","122.4742","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","0.0000","0.0000","0.0000","0.0000","4.5748","157.9215","5.2353","22.0855","15.1577","31.5697","3.1238","6.5306","5416.6667","2.7521","66.2338","92.5427","11.1054","5574.5882","0.9321","0.6850","0.1419","0.1573","13.0216","33.5417","46.5633","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","4.8663","39.0000","0.0000","4.8663","42.3760","414.3877","10.3519","49.0544","19.0738","55.7599","9.4932","2.8637","3000.0000","2.7798","45.5477","92.6489","45.2398","3453.3877","0.1908","4.3114","7.2413","0.2667","62.1163","46.1575","108.2738","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","2.9691","30.0000","0.0343","2.1723","37.7334","555.8380","6.8797","39.8099","21.3753","45.7693","18.7507","10.8747","4833.3333","3.2289","51.8776","79.5055","48.6081","5419.1713","0.3742","3.4554","1.7377","0.4843","57.6288","44.6848","102.3136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","14.6057","22.0000","12.7359","0.6565","7.6876","349.8798","7.2610","51.6067","14.7902","27.1051","4.7839","5.2835","4250.0000","2.6913","61.2088","75.4752","12.9711","4621.8798","2.0951","4.0011","0.9588","0.9820","35.6138","43.1595","78.7733","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","7.1961","86.0000","0.3506","3.2315","1.8243","453.9898","4.1651","38.2398","12.4149","20.4319","1.4104","17.3451","17000.0000","3.0859","55.4418","81.3980","19.1694","17539.9898","0.5285","2.6370","0.4720","0.3956","30.3985","40.6205","71.0190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","9.7585","108.0000","0.4248","8.6533","2.5001","488.0265","4.4265","36.5194","16.8912","24.9506","1.5689","8.8311","10833.3333","2.8399","68.4501","110.7778","11.3313","11429.3598","0.4347","1.4210","1.6724","0.5357","25.1534","38.5025","63.6560","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1.5822","91.6964","0.0000","0.9802","0.0530","5.0942","2.5667","35.1539","10.0914","0.0000","0.0407","6.4073","4500.0000","2.8899","58.5287","71.3123","6.4603","4596.7906","0.1335","3.5175","0.5519","0.1495","12.3949","32.6742","45.0691","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","0.1951","3.0000","0.0000","0.0922","6.6515","68.3194","8.0714","21.9832","25.0923","20.7282","3.4039","2.8661","13083.3333","2.1310","59.4406","93.4290","9.5176","13154.6527","0.0000","2.3576","1.2397","0.0841","13.3941","32.1774","45.5715","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","0.0000","0.0000","0.0000","0.0000","6.0835","300.5604","6.1429","10.4839","12.9806","20.0719","4.1340","5.0010","6416.6667","2.5596","60.3943","75.7581","11.0845","6717.2270","2.5459","5.1737","2.2283","0.7705","21.8030","45.8589","67.6619","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
