Station Field Number,Sampling Number,Monolith,Soil depth,Acanthostichus brevicornis,Acromyrmex subterraneus brunneus,Acropyga exsanguis,Acropyga goeldii,Anochetus mayri,Anochetus neglectus,Anochetus spp.,Anochetus targionii,Apterostigma robustum,Azteca chartifex,Azteca sp.1,Azteca sp.2,Azteca sp.3,Azteca sp.4,Azteca sp.6,Basiceros militaris,Brachymyrmex heeri,Brachymyrmex sp.1,Brachymyrmex sp.2,Camponotus bidens,Camponotus bispinosus,Camponotus blandus,Camponotus cameranoi,Camponotus chartifex,Camponotus crassus,Camponotus godmani,Camponotus gr. tanaemyrmex sp.6,Camponotus latangulus,Camponotus leydigi,Camponotus novogranadensis,Camponotus rectangularis,Camponotus sp.1,Camponotus sp.2,Camponotus sp. 3,Camponotus spp.,Camponotus tenuiscapus,Camponotus textor,Camponotus trapeziceps,Camponotus trapezoideus,Cardiocondyla obscurior,Carebara sp.1,Carebara urichi,Centromyrmex brachycola,Cephalotes alfaroi,Cephalotes atratus,Cephalotes clypeatus,Cephalotes maculatus,Cephalotes minutus,Cephalotes pallens,Cephalotes pavonii,Cephalotes pileini,Cephalotes pusillus,Cephalotes sp.1,Cephalotes umbraculatus,Crematogaster brasiliensis,Crematogaster erecta,Crematogaster limata,Crematogaster longispina,Crematogaster sp.1,Crematogaster sp.2,Crematogaster sp.3,Crematogaster sp.4,Crematogaster sp.5,Crematogaster sp.6,Crematogaster sp.7,Crematogaster sp.9,Crematogaster sp.10,Crematogaster sp.11,Crematogaster sp.13,Crematogaster spp.,Crematogaster tenuicula,Cryptopone guianensis,Cyphomyrmex laevigatus,Cyphomyrmex major,Cyphomyrmex peltatus,Cyphomyrmex sp.1,Cyphomyrmex sp.2,Cyphomyrmex transversus,Discothyrea sexarticulata,Dolichoderus bispinosus,Dolichoderus diversus,Dolichoderus imitator,Dolichoderus longicollis,Dolichoderus quadridenticulatus,Dolichoderus trapeziceps,Dorymyrmex biconis,Dorymyrmex brunneus,Dorymyrmex sp.1,Dorymyrmex sp.2,Dorymyrmex sp.3,Eciton burchelli,Ectatomma brunneum,Ectatomma lugens,Ectatomma ruidum,Ectatomma tuberculatum,Fulakora px cleae,Fulakora px agostii,Gnamptogenys acuminata,Gnamptogenys haenschi,Gnamptogenys horni,Gnamptogenys lanei,Gnamptogenys minuta,Gnamptogenys moelleri,Gnamptogenys sp.3,Gnamptogenys sulcata,Gnamptogenys triangularis,Hylomyrma balzani,Hylomyrma sagax,Hylomyrma sp.1,Hylomyrma sp.2,Hypoponera sp.1,Hypoponera sp.2,Hypoponera sp.3,Hypoponera sp.4,Hypoponera sp.5,Hypoponera sp.6,Hypoponera sp.7,Hypoponera sp.8,Hypoponera sp.9,Hypoponera sp.11,Hypoponera sp.12,Hypoponera sp.13,Hypoponera sp.15,Hypoponera trigona,Labidus coecus,Labidus mars,Labidus sp.1,Leptogenys guianensis,Leptogenys iherengi,Mayaponera constricta,Megalomyrmex drifti,Monomorium floricola,Monomorium pharaonis,Mycetarotes paralellus,Mycocepurus goeldii,Myrmicocrypta sp.1,Myrmicocrypta sp.2,Myrmicocrypta sp.3,Myrmicocrypta sp.5,Myrmicocrypta sp.6,Myrmicocrypta sp.8,Neivamyrmex px bruchi sp.1,Neivamyrmex sp.1,Neivamyrmex sp.2,Neivamyrmex sp.3,Neivamyrmex sp. px bruchi,Neocerapachys splendens,Neocerapachys spp.,Neoponera striatinodis,Neoponera unidentata,Neoponera verenae,Nesomyrmex asper,Nesomyrmex sp.1,Nesomyrmex spininodis,Nylanderia fulva,Nylanderia guatemalensis,Nylanderia sp.1,Nylanderia sp.2,Nylanderia sp.3,Nylanderia sp.4,Ochetomyrmex neopolitus,Octostruma betschi,Octostruma jheringhi,Odontomachus bauri,Odontomachus haematodus,Odontomachus meinerti,Odontomachus scalptus,Oxyepoecus gr. vezenyii sp.1,Oxyepoecus sp.2,Pachycondyla crassinoda,Pachycondyla harpax,Pachycondyla impressa,Pachycondyla unidentata,Paratrechina longicornis,Pheidole allarmata,Pheidole dolon,Pheidole fallax,Pheidole fimbriata,Pheidole gauthieri,Pheidole gr. diligens sp.1,Pheidole gr. diligens sp.2,Pheidole gr. diligens sp.3,Pheidole gr. fallax sp.1,Pheidole gr. fallax sp.2,Pheidole gr. fallax sp.3,Pheidole gr. fallax sp.4,Pheidole gr. flavens sp.1,Pheidole gr. flavens sp.2,Pheidole gr. flavens sp.3,Pheidole gr. flavens sp.4,Pheidole gr. flavens sp.5,Pheidole gr. flavens sp.6,Pheidole gr. flavens sp.7,Pheidole gr. flavens sp.50,Pheidole gr. tristis sp.1,Pheidole gr. tristis sp.2,Pheidole gr. tristis sp.3,Pheidole midas,Pheidole px. cramptoni,Pheidole px. Cramptoni sp.12,Pheidole px. sospes sp.,Pheidole px. tristis sp.51,Pheidole radoszkowskii,Pheidole sp.1,Pheidole sp.2,Pheidole sp.7,Pheidole sp.9,Pheidole sp.10,Pheidole sp.11,Pheidole sp.12,Pheidole sp.13,Prionopelta sp.1,Prionopelta sp.2,Probolomyrmex sp.1,Probolomyrmex sp.2,Procryptocerus pictipes,Procryptocerus spp.,Pseudomyrmex curacaensis,Pseudomyrmex filiformis,Pseudomyrmex gr. pallidus sp.2,Pseudomyrmex gr. pallidus sp.3,Pseudomyrmex gr. sericeus sp.1,Pseudomyrmex gracilis,Pseudomyrmex oculatus,Pseudomyrmex pupa,Pseudomyrmex sericeus,Pseudomyrmex shuppi,Pseudomyrmex sp.6,Pseudomyrmex tenuis,Pseudomyrmex tenuissimus,Pseudomyrmex termitarius,Pseudoponera gilberti,Rasopone arhuaca,Rasopone ferruginea,Rhopalothrix sp.1,Rogeria alzatei,Rogeria besucheti,Rogeria germaini,Rogeria leptonana,Rogeria sp.3,Serycomyrmex  sp.1,Serycomyrmex sp.2,Solenopsis geminata,Solenopsis globularia,Solenopsis sp.1,Solenopsis sp.2,Solenopsis sp.3,Solenopsis sp.4,Solenopsis sp.5,Solenopsis sp.8,Solenopsis spp.,Solenopsis substituta,Solenopsis virulens,Strumigenys denticulata,Strumigenys sp.1,Strumigenys sp.2,Strumigenys sp.3,Strumigenys sp.4,Strumigenys subedentata,Strumigenys trudifera,Tapinoma melanocephalum,Thaumatomyrmex soesilae,Thaumatomyrmex sp.1,Trachymyrmex relictus,Trachymyrmex ruthae,Trachymyrmex sp.1,Tranopelta gilva,Typhlomyrmex sp.1,Typhlomyrmex sp.2,Wasmannia auropunctata,Wasmannia rochai
5,1,A,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,A,0-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,A,10-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,B,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,B,0-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,C,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,C,0-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,D,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,D,0-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,E,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,E,0-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
