idplot,station_field_number,fk_environments,fk_chem_comp,fk_sampling_history,fk_land_user_history,fk_carbon,land_ower,name,county,state,country,continent,conservation_unit_class,conservation_unit_name,previous_land_use,lat,log,relief,topography,soil_order,soil_suborder,bioma,vegetation_physignomia,vegetation_age,land_use,dem,hand
1,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
2,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
3,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
4,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
5,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
6,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
7,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
8,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
9,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
10,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
11,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
12,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
13,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
14,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
15,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
16,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
17,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
18,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
